pbs	frecLEXIN
barrenderos	2
barreño	1
barreras	1
barriga	21
barrigas	1
barriguita	2
barril	7
barrimos	1
barrio	13
barro	13
barrotes	2
báscula	6
base	2
basi	2
basilio	3
basta	6
bastaba	5
bastante	9
bastantes	2
bastón	6
bastos	1
basura	17
basuras	2
basurero	3
bata	32
batallas	1
batata	2
bate	8
batía	1
batido	19
batidora	3
batidoras	1
batidos	2
batiendo	1
batuta	5
batutas	2
baúl	20
bauticé	3
bautizaron	13
bautizo	2
bayas	48
bayeta	11
bayoneta	1
bazar	1
bazo	2
be	25
bea	12
beatriz	3
bebas	1
bebe	51
bebé	61
bebed	1
beben	4
beber	15
bebería	4
bebes	1
bebés	1
bébete	1
bebí	2
bebía	5
bebida	4
bebidas	6
bebido	2
bebiendo	8
bebo	2
becerro	1
begoña	5
béisbol	2
belén	29
bella	6
bellamente	1
bellas	1
belleza	7
bellísima	3
bellísimos	3
bello	11
bellos	6
bellota	6
bellotas	7
benditas	3
bendito	1
beneficiosas	1
benidorm	1
benigno	2
benito	7
benjamín	16
berberecho	1
berenjena	8
bermellón	1
bermudas	1
bernardo	8
berta	11
berza	2
besa	7
besan	1
besar	1
besarla	2
besazo	1
beso	32
besos	14
bestia	2
bestias	3
besugo	2
besuqueando	2
biberón	9
bibí	3
bibiana	1
biblioteca	11
bibliotecario	2
bibliotecas	1
bici	17
bicicleta	51
bicicletas	1
bicis	1
bichejos	1
bichito	1
bicho	8
bidón	4
bien	246
bienes	2
bienvenida	3
bienvenidas	6
bienvenido	3
bienvenidos	2
bigote	6
bigotes	4
bigotín	2
bikini	6
billar	3
billete	5
biografías	1
biquini	2
birria	2
bis	4
bisonte	3
bisontes	3
bistec	6
bizcocho	3
bizcochos	3
bla	6
blanca	97
blancanieves	6
blancas	18
blanco	73
blancos	12
blancura	1
blanda	9
blandas	2
blandir	1
blandito	2
blanditos	1
blando	7
blandos	1
blanquísima	1
blanquita	8
blas	11
blasa	1
blasillo	2
ble	2
blindado	2
bloc	7
bloque	7
bloquearon	2
blusa	45
boa	1
bobada	2
bobalicón	8
bobby	1
bobina	1
bobito	1
bobo	6
boca	70
bocadillo	17
bocadillos	11
bocado	1
bocados	2
bocas	2
bocaza	1
boceto	1
bocina	9
bochorno	1
boda	23
bodas	6
bodega	6
boina	9
boj	4
bola	25
bolas	11
boli	1
bólido	6
bolígrafo	9
bolillo	1
bolita	14
bolitas	4
bolivia	1
bolivianos	1
bolo	8
bolos	5
bolsa	61
bolsas	7
bolsillo	12
bolsillos	16
bolso	24
bolsos	1
bollitos	1
bollo	10
bollos	8
bomba	4
bombardeos	1
bombas	2
bombero	9
bomberos	9
bombilla	12
bombillas	2
bombín	1
bombo	6
bombón	8
bombones	10
bonachón	1
bondad	4
boni	4
bonita	32
bonitas	10
bonito	73
bonitos	6
boquerón	4
boquiabierta	1
boquiabierto	1
boquiabiertos	6
boquita	2
bordaba	3
bordada	1
bordado	2
borde	12
bordillo	3
bordo	1
borja	2
borla	8
borra	2
borrador	1
borrando	1
borrego	2
borregos	1
borreguitos	7
borrico	3
borriquito	4
bosque	109
bosquecillo	2
bosques	7
bostas	2
bosteza	1
bostezando	4
bota	81
botan	6
botar	3
botas	50
bote	25
botella	27
botellas	2
botes	9
botijo	7
botijos	2
botín	5
botiquín	2
botitas	5
botón	27
botones	13
boxea	3
boxeador	3
boxeo	10
boya	1
boyas	1
braco	1
bracos	1
bragas	2
brasas	3
brasero	1
brasileña	1
brava	2
bravo	2
brazalete	3
brazo	33
brazos	15
brenda	1
breva	2
brezo	3
bri	7
brilla	4
brillaba	6
brillaban	4
brillan	9
brillante	19
brillantes	9
brillar	8
brillaron	5
brillo	4
brinca	2
brincaba	1
brincando	1
brincar	1
brincas	2
brinco	13
brincos	2
brindamos	2
brisa	10
broca	4
brocha	16
broche	9
broma	8
bromas	3
bromeaba	2
bromista	4
bronca	1
bronce	1
bronceador	4
brotan	3
brotar	3
brotaron	2
brote	2
bruja	90
brujas	13
brujita	14
brujito	3
brujo	4
brújula	6
brum	6
bruma	6
bruna	2
bruno	13
bruscamente	4
brusco	1
brusquedad	2
bruto	3
bu	1
buah	2
buceando	1
bucear	3
buceo	1
bucles	1
buche	1
buda	2
buen	62
buena	36
buenas	9
buenaventura	5
buenísimas	1
buenísimo	4
buenísimos	3
bueno	43
buenos	29
buey	23
bueyes	3
bufa	2
búfalo	5
bufanda	40
bufandas	4
bufón	3
buhardilla	7
búho	31
búhos	4
buitre	1
buitres	1
bulto	5
bultos	1
bulla	1
bum	1
buñuelo	5
buñuelos	6
buque	6
burbuja	9
burbujas	10
burgos	1
burla	12
burlaba	3
burlan	3
burlando	3
burlar	1
burlaría	3
burlaron	2
burló	1
burra	4
burrazo	1
burrito	8
burro	123
burros	7
burrum	2
bus	5
busca	51
buscaba	6
buscábamos	2
buscaban	1
buscado	2
buscamos	2
buscan	11
buscando	4
buscar	28
buscara	2
buscaré	1
buscaremos	2
buscarla	2
buscarlas	1
buscarlo	4
buscarlos	1
buscas	2
busco	10
buscó	7
busqué	1
búsqueda	3
busquéis	3
butaca	1
butano	3
buzo	8
buzón	17
buzos	2
ca	2
cabal	1
caballero	8
caballeros	2
caballito	9
caballitos	6
caballo	39
caballos	9
cabaña	24
cabe	3
cabecita	1
cabecitas	1
cabellera	2
cabello	5
cabellos	1
cabemos	1
caben	2
cabeza	73
cabezas	4
cabezota	3
cabezudo	1
cabezudos	1
cabina	1
cable	14
cables	3
cabo	10
cabra	41
cabras	15
cabrero	3
cabriolas	1
cabritas	2
cabritillas	4
cabritillos	6
cabrito	3
cabritos	4
caca	2
cacahuete	1
cacahuetes	11
cacao	6
cacarea	4
cacareando	2
cacareo	1
cacatúa	6
cacatúas	2
cacé	1
cacerola	10
cactus	11
cacharro	2
cachete	1
cachorrito	1
cachorro	4
cachorros	1
cada	164
cadena	4
cadenas	2
cadenita	2
caduca	1
caducadas	2
caducados	10
caducidad	2
cae	25
caen	7
caer	18
caerán	1
caerás	2
caerían	1
caernos	1
caerse	3
caes	1
café	32
cafetera	2
cafetería	1
caía	2
caían	5
caídas	1
caído	18
caiga	4
caigo	4
caimán	4
caja	62
cajas	5
cajita	4
cajón	8
cajonera	1
cajones	1
cal	2
calabacín	2
calabaza	12
calabazas	3
calabozo	2
calado	1
calamar	8
calamares	1
calandria	2
calca	4
calcar	2
calcetín	10
calcetines	15
calculando	6
calcular	1
cálculos	7
caldero	1
caldo	6
calefacción	2
calefacciones	1
calendario	2
calentaba	3
calentará	1
calentita	3
calentito	1
calentitos	3
calentó	2
cálida	2
calidad	3
calienta	6
caliente	16
calientes	4
calina	1
calixto	1
cáliz	2
calma	7
calmado	1
calmar	1
calor	44
calorcito	5
calurosa	1
caluroso	2
calurosos	2
calva	4
calvito	3
calvo	8
calvos	1
calza	4
calzada	1
calzó	3
calzón	1
calzoncillo	2
calzoncillos	6
calla	2
callaba	2
callaban	3
callada	1
callado	4
callados	2
callarse	2
callasen	1
cállate	1
calle	85
calleja	1
callejera	3
callejón	5
callejones	2
callejuela	1
callen	4
calles	20
calló	1
cama	100
camaleón	3
cámara	5
camarera	2
camarero	3
camareros	2
camarote	1
camas	4
cambia	11
cambiado	3
cambian	1
cambiando	3
cambiar	11
cambiara	1
cambiarle	5
cambiarse	5
cambié	2
cambio	15
cambió	4
cambios	1
camelia	1
camelio	1
camelios	1
camelo	1
camello	14
camellos	3
camilo	6
camillas	1
camina	11
caminaba	3
caminaban	2
caminan	4
caminando	8
caminar	12
camináramos	1
camines	2
caminito	4
caminitos	1
camino	66
caminos	7
camión	29
camiones	4
camioneta	2
camisa	28
camiseta	11
camisetas	3
camisita	4
camisón	6
campamento	12
campamentos	3
campana	23
campanario	6
campanarios	4
campanas	7
campanilla	3
campanillas	10
campaña	4
campeón	1
campeona	1
campeonato	1
campeonatos	1
campesino	7
campesinos	1
campiña	11
campo	93
campos	13
can	2
canal	3
canapés	1
canarias	2
canario	22
canasta	3
cancelas	2
canción	30
cancioncilla	1
canciones	11
cancha	1
candado	5
cándida	9
cándido	5
canelo	39
canelones	1
canesú	3
cangrejo	15
cangrejos	9
cangurito	3
canguro	9
canguros	3
canica	3
canicas	2
canoa	1
cansa	1
cansaba	3
cansada	5
cansadas	1
cansadita	3
cansaditos	3
cansado	11
cansados	4
cansar	2
cansó	2
canta	59
cantaba	18
cantábamos	1
cantaban	4
cantamos	4
cantan	35
cantando	15
cantante	5
cantantes	1
cantar	28
cantara	3
cantará	3
cantaran	2
cantarán	2
cantaré	10
cantaría	3
cantarín	3
cántaro	6
cantaron	6
cántaros	1
cantas	3
cante	6
canté	5
cantemos	3
cantera	1
cantidad	3
cantimplora	11
cantimploras	1
canto	29
cantó	3
cantores	10
canturreando	1
caña	26
cañamones	1
cañas	4
cañaverales	1
capa	21
capaces	1
capacidad	2
caparazón	5
caparazones	6
capataz	3
capaz	5
capazos	1
caperucita	17
capilla	1
capital	2
capitán	11
capricho	2
caprichosa	2
caprichoso	3
capturar	1
capucha	3
capuchina	3
capuchino	1
capullo	3
capullos	2
cara	75
carabela	2
caracol	85
caracola	6
caracolas	7
caracoles	12
caracolillo	4
caracteriza	1
caramba	1
caramelo	27
caramelos	30
caras	2
caravana	7
caravanas	2
caray	1
carbó	2
carbón	12
carbonería	3
carbonero	6
carcajada	3
carcajadas	5
cárcel	4
carcoma	9
cardo	3
careta	17
caretas	4
carga	6
cargaba	2
cargada	5
cargadito	5
cargado	2
cargamento	1
